Name,Link,Type,Remote Testing,Adaptive/IRT,Test Type,Description,Languages,Job_levels,Completion_time
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Individual Test Solutions,Yes,Yes,K,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","English (USA),","Professional Individual Contributor, Mid-Professional,",30
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","English (USA),","Mid-Professional, Professional Individual Contributor,",17
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","English (USA),","Mid-Professional, Professional Individual Contributor,",5
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","English (USA),","Mid-Professional, Professional Individual Contributor,",11
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","English (USA),","Mid-Professional, Professional Individual Contributor,",9
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","English (USA),","Mid-Professional, Professional Individual Contributor,",5
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,Individual Test Solutions,Yes,No,D,"Introducing the new 360 Digital Report from SHL! Our latest offering revolutionizes the reporting experience for our 360 products, catering to the modern user's needs for enhanced usability and actionable insights. With a sleek, interactive interface, this report provides a exploration of feedback data, focusing on user development and comprehensive evaluation. Users can now enjoy a visually engaging experience, with the capability to download the report in PDF format for offline access. Upgrade your reporting experience today with SHL's innovative 360 Digital Report!",NULL,"Director, Manager, Entry-Level, Executive, Front Line Manager, General Population, Graduate,",NULL
360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,Individual Test Solutions,Yes,No,DP,"SHL 360, or the Multi-Rater Feedback System (‘MFS’), provides a holistic 360-degree view of an employee by gathering feedback from the employee’s manager, peers, direct reports, and/or other raters.  By offering a wide range of perspectives, 360 feedback gives employees a more thorough understanding of not only their strengths, weaknesses, and development opportunities, but also their impact on others.  360-degree multi-rater assessments are based on SHL’s Universal Competency Framework (“UCF”), using our proven library of research-driven competencies to provide opportunities for managers, peers, and direct reports to supply useful developmental feedback that they may not otherwise share.  SHL can also offer support and training throughout the entire process, from defining objectives through interpreting and delivering the feedback.  360 feedback serves all levels and industries and is a positive and powerful addition to your performance management system.","Latin American Spanish, Romanian, French (Canada), Czech, Hungarian, Indonesian, Turkish, Serbian, Portuguese (Brazil), Chinese Traditional, Slovak, Thai, English International, Dutch, French, German, Italian, Portuguese, Spanish, Danish, Finnish, Norwegian, Swedish, English (USA), Russian, Chinese Simplified, Icelandic, Polish, Japanese, Korean,","Director, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",Untimed
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,CPAB,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","English (USA),","Mid-Professional,",49
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Individual Test Solutions,Yes,No,K,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",9
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Individual Test Solutions,Yes,No,S,Simulated data entry test that measures the ability to process payables and vendor invoices.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",8
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Individual Test Solutions,Yes,No,K,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",13
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Individual Test Solutions,Yes,No,S,Simulated data entry test that measures the ability to process receivables and invoices.,"English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",8
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Pre-packaged Job Solutions,Yes,Yes,AKP,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","English (USA),","Entry-Level,",36
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","English (USA),","Mid-Professional, Professional Individual Contributor,",10
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","English (USA),","Mid-Professional, Professional Individual Contributor,",17
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Individual Test Solutions,Yes,Yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","English (USA),","Mid-Professional, Professional Individual Contributor,",20
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,",10
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,",10
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Pre-packaged Job Solutions,Yes,Yes,ABPS,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","English (USA),","Front Line Manager, Manager, Supervisor,",51
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","English (USA),","Graduate,",7 minutes
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","English (USA),","Mid-Professional, Professional Individual Contributor,",13
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Individual Test Solutions,Yes,No,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"English (USA),","General Population,",16
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","English (USA),","Mid-Professional, Professional Individual Contributor,",6
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","English (USA),","Mid-Professional, Professional Individual Contributor,",7
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Individual Test Solutions,Yes,No,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","English (USA),","Mid-Professional, Professional Individual Contributor,",11
